B/gzncee2R041kU.65b.VU B/gzncee2R041kU.65b.VU {40001 {} /crootdir AlFyTcee2R041kU.65b.VU {} AlG/Z6ee2R041kU.65b.VU {The Croot user} csh ATtkK6ee2R041kU.65b.VU UName*It 1.0.16 {} 858888136 croot}
vGrs/eLz2R0g7kU.65b.VU vGrs/eLz2R0g7kU.65b.VU {{} bJiNNDuDgR9Rg /sbin AlFsrcee2R041kU.65b.VU {} AlFoEcee2R041kU.65b.VU {} sh ATtkK6ee2R041kU.65b.VU UName*It 2.0.0 {} 859397985 root}
k6K4D8M42R0g7kU.65b.VU k6K4D8M42R0g7kU.65b.VU {0 {} / AlFsrcee2R041kU.65b.VU {} mfqhJ83u2R0cOEU.65b.VU {} /sbin/sh ATtkK6ee2R041kU.65b.VU UName*It 2.0.4 {} 859400966 root}
t6WMReM42R0g7kU.65b.VU t6WMReM42R0g7kU.65b.VU {0 {} / AlFsrcee2R041kU.65b.VU f.KuM86S2R0cOEU.65b.VU mfqiqe3u2R0cOEU.65b.VU {} /sbin/sh ATtkK6ee2R041kU.65b.VU UName*It 2.0.5 {} 859401494 root}
t6WOieM42R0g7kU.65b.VU t6WOieM42R0g7kU.65b.VU {0 {} / AlFsrcee2R041kU.65b.VU f.L2xe6S2R0cOEU.65b.VU mfqnP83u2R0cOEU.65b.VU {} /sbin/sh ATtkK6ee2R041kU.65b.VU UName*It 2.0.5 {} 859401494 root}
EqW1r8M62R0g7kU.65b.VU EqW1r8M62R0g7kU.65b.VU {{} {} /var/spool/uucppublic EqW6PeM62R0g7kU.65b.VU AkI8Q6ee2R041kU.65b.VU mfqiqe3u2R0cOEU.65b.VU {System Account} /usr/lbin/uucp/uucico ATtkK6ee2R041kU.65b.VU UName*It 2.0.6 {} 859401928 uucp}
EqW/heM62R0g7kU.65b.VU EqW/heM62R0g7kU.65b.VU {5 * /var/spool/uucppublic EqW6PeM62R0g7kU.65b.VU AkI8Q6ee2R041kU.65b.VU mfqhJ83u2R0cOEU.65b.VU {System Account} /usr/lbin/uucp/uucico ATtkK6ee2R041kU.65b.VU UName*It 2.0.6 {} 859401928 uucp}
EqW4u8M62R0g7kU.65b.VU EqW4u8M62R0g7kU.65b.VU {5 * /usr/lib/uucp EqW6PeM62R0g7kU.65b.VU AkI8Q6ee2R041kU.65b.VU AlFoEcee2R041kU.65b.VU {System Account} /bin/sh ATtkK6ee2R041kU.65b.VU UName*It 2.0.6 {} 859401929 uucp}
EqW3MeM62R0g7kU.65b.VU EqW3MeM62R0g7kU.65b.VU {4 * /var/spool/uucppublic EqW6PeM62R0g7kU.65b.VU AkI8Q6ee2R041kU.65b.VU mfqnP83u2R0cOEU.65b.VU {System Account} /usr/lbin/uucp/uucico ATtkK6ee2R041kU.65b.VU UName*It 2.0.6 {} 859401929 uucp}
